nom	age	revenu_annuel	loyer	depenses_mensuelles	versement_mensuel_utilisateur
Alice	22	21000	400	300
Bob	35	32000	800	500
Claire	28	28000	750	700
David	45	45000	1200	800
Emma	52	50000	1000	1200
Fabrice	65	25000	650	1000
Gina	31	38000	950	400
Henri	40	60000	2000	1500
Isabelle	37	22000	500	700
Julien	30	26000	700	600
Karim	55	35000	850	900
Laura	60	28000	600	400
Martin	29	41000	1100	850
Nora	25	24000	500	250
Oscar	42	39000	1300	950
Pauline	33	34000	800	750
Quentin	48	56000	1800	1300
Rania	27	31000	750	600
Samuel	38	30000	700	650
Tina	70	22000	550	350
Ugo	19	20000	450	200
Valérie	77	23000	500	400
Wassim	36	42000	1000	850
Xena	44	46000	1200	1000
Yassine	68	26000	600	500
Zoé	24	29000	700	550
Abdel	58	52000	1400	1100
Brigitte	73	25000	600	450
Cédric	15	0	0	50
Diane	80	18000	400	350
